"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10882","03-To Verify that the user cannot sign in with invalid credentials","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","11558","01-To verify the Henry Schein icon is present on the Home page","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","10908","05-Verify that the search bar accepts input and displays relevant suggestions","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","31656","08-Verify that the cart icon displays the correct item count when products are added to the cart","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","16517","12-To Verify the error message for invalid login credentials","HenrySchein","2026-02-09","failed","2026-02-09","","HomePage.spec.ts","",""
"","12253","02-To Verify the sign-in functionality on the Home page","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","47334","11-Verify Footer Links Are Interactive and Navigate to respective pages","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","20723","11-Verify that the banner slider displays all slides with their respective content and transitions between slides when the Navigation Arrows buttons are clicked.","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","17053","06-Verify Main Menu Buttons Are Enabled and Interactive","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","15847","09-Verify that the tooltip is displays the address when hovering over the address information icon","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
"","18436","07-Verify Main Menu Links Are Enabled and Interactive","HenrySchein","2026-02-09","failed","2026-02-09","","HomePage.spec.ts","",""
"","27981","04-To verify the Sign up flow on the Home page","HenrySchein","2026-02-09","passed","2026-02-09","","HomePage.spec.ts","",""
